recipe_slug	score_estimate
almond-chip-cookies	0.44961784587809517
almond-croissants	0.4851113264069525
apple-crisp	0.5031652055527357
apple-crumble	0.520125550165047
apple-pie	0.48230093513285005
asparagus-burger	0.49249894298024255
asparagus-quiche	0.5352659576566138
bacon-and-egg-breakfast-sandwich	0.2476052694862707
bacon-chocolate-chip-cookies	0.10495753646096331
bacon-egg-muffins	0.020303798262931532
bacon-fried-rice	0.07697873429729814
bacon-mac-and-cheese	0.25436209803286497
bacon-souffle	0.11401654467326232
bacon-wrapped-asparagus	0.24748838982243138
bacon-wrapped-chicken	0.23590941300474838
bacon-wrapped-dates	0.2595215926519587
bacon-wrapped-scallops	0.030082480984374327
bacon-wrapped-shrimp-skewers	0.2193156642835476
berry-crisp	0.5018035063319001
berry-crumble	0.5046691178611677
blueberry-crisp	0.5062800971032942
blueberry-crumble	0.46191892610774743
bolognese-sauce	0.8583990406847086
breakfast-burritos	0.8415759054634353
brioche-bread	0.49198152514482163
brioche-bread-with-chocolate	0.4612539612096637
brownies	0.9027582781906873
burritos	0.4789836458598794
butter-croissants	0.166241826156318
cherry-cobbler	0.4966054826247024
cherry-pie	0.4850242367784702
chicken-alfredo-lasagna	0.503008511152495
chicken-fingers	0.4826572480438376
chicken-nuggets	0.5051671655560307
chiles-rellenos	0.4769109774489275
chocolate-babka	0.5067926275972905
chocolate-cake	0.46209184014959137
chocolate-croissants	0.44547048113140275
chocolate-peanut-butter-cake	0.2644535304524016
chocolate-souffle	0.4687924397037346
cinnamon-babka	0.49797383533274103
classic-beef-lasagna	0.36085014320295566
cold-noodles-with-tomatoes	0.9289898884254443
cold-sesame-noodles	0.5019787961923643
cold-soba-noodles-with-tomato-and-cucumber	0.5228777135588739
cranberry-apple-crisp	0.4866627973470601
cranberry-relish	0.50076729938056
cranberry-sauce	0.5007672993805599
croissant-aux-amandes	0.5001954161544241
croissants	0.9039348189626875
dan-dan-noodles	0.4848527842735386
danishes	0.4866733431596133
enchiladas	0.46917332970789977
fajitas	0.5219600105326283
falafel	0.4933450357697169
french-toast	0.49807920807315825
fried-oysters	0.07582117098016712
guacamole	0.49948668227634285
lasagna	0.5098881242516695
loaded-nachos	0.47778910191056273
ma-la-beef	0.2749324342925591
ma-la-chicken	0.5064526465552459
maple-bacon-donuts	0.05931207380164551
maple-bacon-pancakes	0.016563005948998802
mushroom-quiche	0.9330303592034653
nacho-casserole	0.5060593056366879
nacho-dip	0.5067466331761369
nacho-fries	0.49878288213877275
nacho-salad	0.5161841482566925
nachos	0.4955140349917782
pain-au-chocolat	0.514067457193842
pasta-primavera	0.8342133551616455
peach-cobbler	0.49786673386631547
peach-crisp	0.5125209894108794
peanut-butter-brownies	0.12094029701692238
peanut-butter-cupcakes	0.2598827919250568
pickled-asparagus	0.47304022617837144
pickled-green-beans	0.48754711606427786
pico-de-gallo	0.5181392185492903
quesadillas	0.5012079262178559
quiche-lorraine	0.4556248327771312
ramen	0.9662326355493649
soba-noodle-salad-with-peanut-dressing	0.49108086118475935
souffle	0.47087725368460664
spam-musubi	0.489873772416821
spamburger	0.49436778009781607
spinach-and-feta-quiche	0.49321988380891146
spinach-and-ricotta-lasagna	0.5541944719582036
spinach-and-ricotta-stuffed-shells	0.564374781784081
spinach-quiche	0.4853307105077689
strawberry-rhubarb-crisp	0.5114397078195608
sujebi	0.49822360060441984
taco-salad	0.48883363292993215
tacos	0.4971369291530842
tamales	0.9301872617255632
tempura-udon	0.4918522375144947
udon	0.5058377619879524
vanilla-souffle	0.46938400949741615
vegetable-lasagna	0.5754599550400754
vegetarian-mushroom-lasagna	0.879505407084666
